q3,age,q4,q61,q9,q10,q11
1,35,2,9,6,1,-9
2,66,6,10,6,1,2
1,50,3,4,6,2,-9
1,62,3,9,10,1,1
2,63,3,9,10,1,9
1,66,3,7,8,1,1
1,43,3,7,7,5,1
2,47,3,9,10,1,1
1,76,3,9,8,1,-8
1,65,3,5,8,1,1
1,22,3,5,7,1,3
2,39,3,10,10,1,-9
1,26,3,7,7,2,3
1,86,3,4,8,1,-9
2,50,3,11,7,1,2
2,28,3,7,7,1,3
1,61,3,5,8,1,5
1,76,3,11,10,1,1
1,42,3,7,4,1,2
2,73,4,5,8,1,2
2,25,4,9,2,3,1
1,66,4,9,7,1,5
1,24,4,7,5,2,2
2,45,4,7,7,1,2
1,30,4,7,8,1,5
1,23,4,9,7,1,1
2,21,3,8,7,1,5
1,68,4,7,7,1,-8
2,20,4,5,7,1,1
1,39,5,9,6,2,-9
1,34,5,5,7,1,-9
1,55,5,9,8,1,-8
1,28,5,10,8,1,1
2,58,5,7,7,1,1
2,43,5,10,3,1,4
2,46,5,7,6,1,-9
1,50,5,7,7,1,1
1,33,5,9,9,1,6
1,66,5,9,10,2,1
2,39,5,7,0,2,-9
1,59,5,6,5,1,-9
1,27,5,9,10,1,-9
1,59,5,9,7,1,-9
2,35,5,10,7,1,-9
1,60,5,10,8,1,1
1,34,5,5,5,4,NA
1,39,5,9,7,1,-9
1,66,5,5,5,2,6
2,54,5,9,7,1,1
1,48,5,3,8,1,2
1,63,5,11,7,1,-9
1,31,5,5,7,1,7
1,54,5,6,7,1,2
1,20,5,4,0,2,-9
1,39,5,7,8,1,-9
2,24,5,9,6,1,1
2,31,5,9,10,1,6
1,71,5,3,8,1,1
2,38,5,9,5,2,1
1,23,5,7,8,1,2
2,55,5,6,8,1,1
1,41,5,3,7,1,-9
1,70,5,11,6,1,-8
1,54,5,7,5,2,5
1,40,5,5,9,1,-9
2,64,5,10,6,1,-8
1,54,5,5,5,1,-9
1,42,5,9,8,1,3
1,40,5,7,9,1,1
1,21,5,7,5,1,5
1,50,5,5,6,2,-8
